16134785,10,어벤져스: 엔드게임,역시 마블 실망시키지 않았습니당 ,jh98****,19.09.10
16134784,8,봉오동 전투,전투씬이 인상깊었습니다 ,jh98****,19.09.10
16134783,9,레미제라블,다들 좋은 영화 많이 못보고 살았나 보네 ,tpgm****,19.09.10
16134782,10,어바웃 타임,마음 따뜻해지는 영화 ,miij****,19.09.10
16134781,6,패신저스,아서한테 팔찌주고 재워달라면 끝날것을... ,soky****,19.09.10
16134780,1,암전,좌안암 1기에서 영화를 본 후 양안암 말기로 전이 되었다 ,leey****,19.09.10
16134779,10,내 이야기!!,사랑과 우정 모든게 담겨있다 따뜻한 영화 ,sorr****,19.09.10
16134778,8,엑시트,참신하긴 하나 약간의 징징거림과 조정석의 옹알거림이 좀 답답함ㅋㅋ 그냥 딱 킬링타임용 ,sin5****,19.09.10
16134777,5,그것: 두 번째 이야기,"이 영화 참 대단한 영화입니다판타지, 액션, 멜로, 드라마, 스릴러, 호러 모든 장르가 다 들어있어요살면서 이런 영화 처음 입니다 ",cust****,19.09.10
16134776,1,유열의 음악앨범,허리아프고 졸립고 배고프고 짜증나고 병원비가 더 나옴 방해될까봐 중간에 나오지도 못함 정말 시간 아까움 ,wlgy****,19.09.10
16134775,9,그것: 두 번째 이야기,169분동안 놀이기구 탄 느낌 ㄷㄷ ,dsun****,19.09.10
16134774,10,그것: 두 번째 이야기,완전 재밌음 지루하지도 않고 공포영화답게 공포감 최고오 ,vjaz****,19.09.10
16134773,10,그것: 두 번째 이야기,분위기부터가 장난이 아님... 스토리도 탄탄하고 재밌더라 ,pray****,19.09.10
16134772,10,틴 스피릿,가볍게 볼수 있는 오디션 소재 성장영화~ 엘르 패닝 생각보다 노래 잘해서 깜놀! ,daeh****,19.09.10
16134771,9,그것: 두 번째 이야기,3편도 나올까요?ㅋㅋㅋ너무 인상 깊게 봤어요 ,enem****,19.09.10
16134770,8,기생충,좋아요 ~좋아요 ~좋아요 ~좋아요 ~좋아요 ~좋아요 ~좋아요 ~좋아요 ~좋아요 ~ ,alzl****,19.09.10
16134769,8,그것: 두 번째 이야기,와 그것1이 벌써 2년이나 지났어 ,pdqb****,19.09.10
16134768,8,그것: 두 번째 이야기,내가 기다리던 그런 공포영화!! ,erdf****,19.09.10
16134767,10,그것: 두 번째 이야기,전작을 뛰어넘는 녕화!! ,zzca****,19.09.10
16134766,8,그것: 두 번째 이야기,엄청난 재미와 엄청난 공포를 느끼고 왔다 ,n2wm****,19.09.10
16134765,10,그것: 두 번째 이야기,스토리도 탄탄하고 교훈도잇고 공포감지리고 잼썻어요! 무서워서 남자친구 손 꼭붙들고봣네요... ,miye****,19.09.10
16134764,9,그것: 두 번째 이야기,러닝타임내내 눈을 뗄 수 없었던 영화! ,vxl4****,19.09.10
16134763,8,창궐,평점이 별로네? 난 잼있게봤는데 ㅎㅎ ,swim****,19.09.10
16134762,9,그것: 두 번째 이야기,최근 공포영화중에 제일 재밌어요 ,xmkz****,19.09.10
16134761,9,기생충,"배우들의 연기력에 유쾌함 반, 후반 막장 전개에 불쾌함 반. ",memo****,19.09.10
16134760,10,오목소녀,영화가 짧아서 좋아요 ~ ,epic****,19.09.10
16134759,8,그것: 두 번째 이야기,아 진짜 개무서워 핵무서워 ,ur4s****,19.09.10
16134758,9,그것: 두 번째 이야기,시간이지날수록 긴장감이 고조되는데 진짜 장난 아니더라 ,dasb****,19.09.10
16134757,8,그것: 두 번째 이야기,긴 러닝타임이 한번도 지루하지 않았다 ,mepm****,19.09.10
16134756,4,그것: 두 번째 이야기,재미는 있었는데 평점 너무높다 균형을 맞춘다 ,twil****,19.09.10
16134755,7,그것: 두 번째 이야기,이어지는 내용이라 더 재밌었어요 1편에서의 떡밥 제대로 회수하네요ㅋㅋㅋ ,z4vv****,19.09.10
16134754,8,그것: 두 번째 이야기,뒷이야기가 더 흥ㅎ미진진한데요 ,now-****,19.09.10
16134753,9,그것: 두 번째 이야기,짜릿하고 무섭고ㅎㅎ 다하네ㅎㅎㅎ ,mnou****,19.09.10
16134752,8,그것: 두 번째 이야기,무서웠어요ㅋㅋ꼭보세요ㅋㅋㅋ ,ddxr****,19.09.10
16134751,9,그것: 두 번째 이야기,1부보다 더 재밌는듯!@!! ,vi4a****,19.09.10
16134750,8,그것: 두 번째 이야기,공포영화 좋아하는 분이라면 추천합니다. ,kimy****,19.09.10
16134749,8,그것: 두 번째 이야기,역시 스티븐킹...ㅎㅎㅎ 굿굿 ,uof2****,19.09.10
16134748,1,패션 오브 크라이스트,개 ㅆㄹㄱ 영화!!!! ,mira****,19.09.10
16134746,9,그것: 두 번째 이야기,2년전에 엄청 무섭게 봤는데 이건 더하네요 ㅜ ,j1xy****,19.09.10
16134747,9,유열의 음악앨범,"개연성 없고 뚝뚝 끊긴다고 하는데, 요즘 같은 짤의 시대에 젋은 세대는 오히려 반길만한 편집 아닌가. 구구절절이 설명하지도 않고 부족한 부분은 상상으로 채우면 되니까. 암튼 나는 너무 잘 봤고 빠져든 시간이었다. ",zaqm****,19.09.10
